Memory in node 1: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 
test: medium_latency_0
timing: 11874318
timing: 13124248
timing: 12499823
timing: 10621990
timing: 14998679
timing: 11249352
timing: 12496490
timing: 14371801
timing: 9998950
timing: 11876400
timing: 15304120
timing: 9066819
timing: 8746910
timing: 9996587
timing: 10623907
timing: 11249337
timing: 11249492
timing: 9374097
timing: 14374555
timing: 14374898
timing: 11873720
timing: 9374430
timing: 11249876
timing: 14374082
timing: 9374405
timing: 11249501
timing: 13124173
timing: 11246836
timing: 11247180
timing: 9997148
timing: 13748774
timing: 9374416
timing: 13124436
timing: 14374424
timing: 14374480
timing: 10621508
timing: 12499650
timing: 11877517
timing: 9373816
timing: 12495701
timing: 11249097
timing: 13123940
timing: 9371011
timing: 13745903
timing: 9996576
timing: 10624008
timing: 11871176
timing: 11249685
timing: 13120590
timing: 9373582
timing: 13752266
timing: 9992412
timing: 13124567
timing: 11246505
timing: 9999565
timing: 9374307
timing: 13749424
timing: 12499706
timing: 13749507
timing: 13749185
timing: 13749610
timing: 13124448
timing: 8124289
timing: 13124584
timing: 9999128
timing: 14999542
timing: 11249266
timing: 13749422
timing: 13749880
timing: 10621270
timing: 9275245
timing: 7598731
timing: 10624856
timing: 16873676
timing: 10624558
timing: 11874382
timing: 13124213
timing: 11874849
timing: 12499179
timing: 13124275
timing: 11249464
timing: 11874387
timing: 13749459
timing: 8750109
timing: 13126300
timing: 13746433
timing: 14371513
timing: 12498700
timing: 11249410
timing: 10624732
timing: 11874310
timing: 11874001
timing: 13748891
timing: 14371510
timing: 9997182
timing: 9998955
timing: 9999432
timing: 11874253
timing: 7499351
timing: 9999825
timing: 12498719
timing: 13124506
timing: 10624220
timing: 9371977
timing: 10624113
timing: 12500025
timing: 8752277
timing: 13121001
timing: 13124682
timing: 10623855
timing: 13748092
timing: 12500638
timing: 11873965
timing: 13123791
timing: 10617787
timing: 10621432
timing: 13749733
timing: 13746820
timing: 9998563
timing: 11871378
timing: 11246061
timing: 11871034
timing: 14999094
timing: 13124907
timing: 13123025
timing: 11246265
timing: 11246971
timing: 11248295
timing: 15006792
timing: 11863958
timing: 10623913
timing: 14372969
timing: 9371381
timing: 9999360
timing: 9996941
timing: 9999424
timing: 7499269
timing: 16874540
timing: 14371848
timing: 12496614
timing: 9999452
timing: 13124574
timing: 13124244
timing: 9374322
timing: 13750567
timing: 15623216
timing: 13123726
timing: 15621004
timing: 8749344
timing: 9374439
timing: 8751031
timing: 12495682
timing: 11874282
timing: 13124204
timing: 10626472
timing: 14374163
timing: 14373681
timing: 12496619
timing: 15623328
timing: 12496928
timing: 13121632
timing: 12499082
timing: 11248659
timing: 12497503
timing: 12497707
timing: 12499314
timing: 9996629
timing: 13748787
timing: 8746497
timing: 10622837
timing: 11245949
timing: 13123877
timing: 11249229
timing: 8746265
timing: 9997197
timing: 13748399
timing: 11871423
timing: 9373954
timing: 10621941
timing: 13122141
timing: 13122080
timing: 9998687
timing: 12496674
timing: 10629248
timing: 9997324
timing: 9996217
timing: 17497155
timing: 11246940
timing: 14378586
timing: 9367308
timing: 11249521
timing: 13750250
timing: 8750816
timing: 13121551
timing: 8748270
timing: 11249252
timing: 11256601
timing: 11867160
timing: 13749422
timing: 11871856
timing: 10626497
timing: 13745590
timing: 10634319
timing: 11864528
timing: 8747074
timing: 9997432
timing: 11251586
timing: 11245461
timing: 10622283
timing: 13124025
timing: 11247387
timing: 8748202
timing: 9371421
timing: 11871526
timing: 8746963
timing: 9374635
timing: 14997220
timing: 13745904
timing: 10001850
timing: 13747941
timing: 9372916
timing: 9996857
timing: 14372070
timing: 14996450
timing: 15002408
timing: 11871001
timing: 12501382
timing: 9370116
timing: 10621635
timing: 9372351
timing: 14996579
timing: 11874740
timing: 13746626
timing: 12496806
timing: 9997050
timing: 10624208
timing: 13749498
timing: 10621543
timing: 11246823
timing: 13122019
timing: 10622019
timing: 12496990
timing: 12498694
timing: 10623980
timing: 13749414
timing: 10624351
timing: 16251917
timing: 10621843
timing: 10624127
timing: 10624700
timing: 9374611
timing: 11874815
timing: 8121255
timing: 14371020
timing: 9999122
timing: 10624438
timing: 11246807
timing: 8746838
timing: 10624982
timing: 9998790
timing: 8743075
timing: 11246495
timing: 10621472
timing: 13749150
timing: 11871484
timing: 11875210
timing: 13120664
timing: 9996643
timing: 10001995
timing: 9370428
timing: 10627872
timing: 11243167
timing: 11872691
timing: 13121077
timing: 14374969
timing: 15618340
timing: 10624377
timing: 10623605
timing: 13121063
timing: 12499064
timing: 9998590
timing: 11246115
timing: 10621671
timing: 10621242
timing: 14371510
timing: 10621152
timing: 13746472
timing: 12496617
timing: 9999224
timing: 9374342
timing: 10622044
timing: 13749753
timing: 11246329
timing: 9374295
timing: 13127040
timing: 9996775
timing: 13746853
timing: 10624582
timing: 13124035
timing: 14374375
timing: 14374440
timing: 12499604
timing: 9999341
timing: 8749113
timing: 10624654
timing: 9999502
timing: 9374439
timing: 13749581
timing: 13751925
timing: 11243123
timing: 13748893
timing: 13746177
timing: 13121507
timing: 14372473
timing: 10000869
timing: 13121835
timing: 9372903
timing: 9996459
timing: 8753896
timing: 10616610
timing: 13749692
timing: 12499452
timing: 9999069
timing: 10624425
timing: 8749469
timing: 11874688
timing: 10624153
timing: 14374703
timing: 11874315
timing: 13124245
timing: 10625071
timing: 13124484
timing: 8749023
timing: 13121891
timing: 12499704
timing: 11246730
timing: 15624542
timing: 8746819
timing: 11250044
timing: 16251659
timing: 13120447
timing: 14998995
timing: 11249436
timing: 12496998
timing: 14371984
timing: 11246990
timing: 9373994
timing: 11247040
timing: 8746908
timing: 13746991
timing: 11874367
timing: 11875842
timing: 12496259
timing: 8123539
timing: 8123530
timing: 13122735
timing: 12496617
timing: 8746549
timing: 9375955
timing: 14370013
timing: 14999197
timing: 13124038
timing: 11877646
timing: 9998084
timing: 9371137
timing: 10621180
timing: 9996578
timing: 11249619
timing: 13118491
timing: 11874145
timing: 9997105
timing: 9371595
timing: 11874172
timing: 14374353
timing: 8124244
timing: 8750294
timing: 13744882
timing: 14371180
