Memory in node 1: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 
test: short_latency_0
timing: 16844
timing: 17222
timing: 15347
timing: 17153
timing: 16762
timing: 16692
timing: 14970
timing: 15139
timing: 17532
timing: 16399
timing: 16463
timing: 16930
timing: 16598
timing: 17322
timing: 15411
timing: 16464
timing: 16959
timing: 18030
timing: 17810
timing: 15178
timing: 16720
timing: 16012
timing: 16822
timing: 16757
timing: 15554
timing: 16720
timing: 16861
timing: 18370
timing: 16875
timing: 15759
timing: 16385
timing: 16602
timing: 15990
timing: 15777
timing: 18579
timing: 16222
timing: 17226
timing: 17058
timing: 15824
timing: 16814
timing: 16292
timing: 18298
timing: 16751
timing: 14949
timing: 16393
timing: 17715
timing: 17263
timing: 15851
timing: 15961
timing: 16268
timing: 17695
timing: 16355
timing: 14967
timing: 16454
timing: 16606
timing: 16719
timing: 16964
timing: 15311
timing: 16340
timing: 17153
timing: 14783
timing: 15029
timing: 15280
timing: 17449
timing: 18136
timing: 16370
timing: 16439
timing: 16975
timing: 17362
timing: 17598
timing: 18097
timing: 16819
timing: 15272
timing: 15209
timing: 16614
timing: 14914
timing: 15721
timing: 15877
timing: 16219
timing: 15068
timing: 15806
timing: 16787
timing: 15778
timing: 15539
timing: 14373
timing: 15814
timing: 15735
timing: 17295
timing: 14531
timing: 15017
timing: 15809
timing: 17510
timing: 16515
timing: 14588
timing: 16089
timing: 16302
timing: 16444
timing: 15519
timing: 15831
timing: 16415
timing: 15708
timing: 16926
timing: 17165
timing: 15752
timing: 16322
timing: 16286
timing: 16466
timing: 15281
timing: 17935
timing: 15894
timing: 15710
timing: 16992
timing: 15624
timing: 16404
timing: 15761
timing: 16220
timing: 16133
timing: 15600
timing: 16394
timing: 16297
timing: 16474
timing: 15833
timing: 15592
timing: 15885
timing: 15192
timing: 17410
timing: 14213
timing: 15385
timing: 16032
timing: 16536
timing: 14457
timing: 16676
timing: 16585
timing: 15576
timing: 17323
timing: 14327
timing: 13937
timing: 16605
timing: 16685
timing: 15623
timing: 15133
timing: 14746
timing: 16791
timing: 16510
timing: 16147
timing: 14726
timing: 15560
timing: 15862
timing: 17095
timing: 15506
timing: 16843
timing: 16007
timing: 16268
timing: 16312
timing: 14339
timing: 15810
timing: 17834
timing: 16135
timing: 16177
timing: 14278
timing: 15627
timing: 16569
timing: 14695
timing: 14979
timing: 15595
timing: 16349
timing: 15693
timing: 16706
timing: 15402
timing: 16331
timing: 15852
timing: 17452
timing: 14930
timing: 15554
timing: 16410
timing: 15761
timing: 15239
timing: 17637
timing: 15429
timing: 15895
timing: 15513
timing: 17360
timing: 14921
timing: 15923
timing: 15454
timing: 17078
timing: 16382
timing: 16137
timing: 13547
timing: 15670
timing: 14874
timing: 13872
timing: 15354
timing: 13882
timing: 14673
timing: 16287
timing: 13875
timing: 15536
timing: 15303
timing: 16542
timing: 15621
timing: 15481
timing: 15205
timing: 15107
timing: 16520
timing: 15151
timing: 14053
timing: 15414
timing: 15675
timing: 16137
timing: 16377
timing: 15730
timing: 15442
timing: 15364
timing: 15747
timing: 15667
timing: 15795
timing: 15329
timing: 15890
timing: 13724
timing: 15077
timing: 15429
timing: 15164
timing: 15999
timing: 13990
timing: 17652
timing: 15624
timing: 14313
timing: 16025
timing: 15367
timing: 15979
timing: 15215
timing: 16361
timing: 14469
timing: 15512
timing: 14561
timing: 13682
timing: 15496
timing: 14223
timing: 15520
timing: 14949
timing: 15934
timing: 14969
timing: 14956
timing: 15462
timing: 14032
timing: 15789
timing: 15268
timing: 15579
timing: 14868
timing: 15061
timing: 16191
timing: 17995
timing: 15579
timing: 14493
timing: 16827
timing: 15300
timing: 15480
timing: 15873
timing: 15142
timing: 16212
timing: 14338
timing: 15211
timing: 15257
timing: 16202
timing: 16857
timing: 14230
timing: 15846
timing: 15767
timing: 16114
timing: 16454
timing: 16942
timing: 15065
timing: 15056
timing: 14666
timing: 15574
timing: 14115
timing: 14966
timing: 15615
timing: 17307
timing: 15766
timing: 14307
timing: 16345
timing: 16762
timing: 15143
timing: 16028
timing: 17319
timing: 15288
timing: 16674
timing: 16361
timing: 15575
timing: 17568
timing: 14998
timing: 16244
timing: 15678
timing: 15748
timing: 15930
timing: 15882
timing: 14706
timing: 16122
timing: 15339
timing: 15510
timing: 14089
timing: 15397
timing: 15014
timing: 15147
timing: 15209
timing: 14719
timing: 13700
timing: 15132
timing: 15612
timing: 14423
timing: 15325
timing: 14582
timing: 15466
timing: 14895
timing: 15177
timing: 14167
timing: 14898
timing: 14655
timing: 16733
timing: 14601
timing: 13387
timing: 14982
timing: 14698
timing: 13872
timing: 15628
timing: 15422
timing: 14893
timing: 14885
timing: 15732
timing: 14897
timing: 14793
timing: 14575
timing: 14721
timing: 15410
timing: 14896
timing: 14634
timing: 14736
timing: 15558
timing: 14510
timing: 14771
timing: 14910
timing: 15230
timing: 15604
timing: 13276
timing: 14662
timing: 15076
timing: 14082
timing: 13866
timing: 15070
timing: 15163
timing: 13208
timing: 15500
timing: 15104
timing: 15155
timing: 15483
timing: 14587
timing: 15748
timing: 14801
timing: 15050
timing: 14037
timing: 15290
timing: 14479
timing: 14530
timing: 14656
timing: 14718
timing: 13550
timing: 15187
timing: 15566
timing: 15957
timing: 13112
timing: 15045
timing: 13226
timing: 14333
timing: 15703
timing: 15255
timing: 14542
timing: 14630
timing: 14552
timing: 15425
timing: 15225
timing: 14672
timing: 14498
timing: 14467
timing: 15335
timing: 14297
timing: 15273
timing: 15180
timing: 16380
timing: 15162
timing: 16063
timing: 14799
timing: 14920
timing: 15288
timing: 13908
timing: 14529
timing: 16152
timing: 14971
timing: 14765
timing: 13993
timing: 14843
timing: 14758
timing: 14977
timing: 14539
timing: 15836
timing: 15685
timing: 15686
timing: 16687
timing: 14716
timing: 15014
timing: 14147
timing: 14482
timing: 15313
timing: 15475
timing: 14750
timing: 14802
timing: 13082
timing: 14341
timing: 14095
timing: 14664
timing: 15464
timing: 14262
timing: 13791
timing: 14396
timing: 14772
timing: 13335
timing: 14893
timing: 15282
timing: 14465
timing: 13209
timing: 14146
timing: 14899
timing: 15365
timing: 12788
timing: 14411
timing: 15249
timing: 14914
timing: 16183
timing: 14532
timing: 13443
timing: 14640
timing: 14452
timing: 16213
timing: 13337
timing: 14120
timing: 15548
timing: 15675
timing: 14515
timing: 14152
timing: 14420
timing: 15139
timing: 13550
timing: 15056
timing: 14539
timing: 15012
timing: 15077
timing: 13136
timing: 13251
timing: 13357
timing: 14398
timing: 14930
timing: 14222
timing: 12795
timing: 14492
timing: 16162
timing: 14177
timing: 13023
timing: 14665
timing: 14394
timing: 15708
timing: 15028
timing: 13840
timing: 14975
timing: 15328
timing: 14764
timing: 14394
timing: 13485
timing: 14655
timing: 15110
timing: 12927
timing: 13258
timing: 14689
timing: 14604
timing: 13698
timing: 15104
timing: 16212
timing: 13331
timing: 14905
timing: 15191
timing: 14901
timing: 13912
timing: 14257
timing: 14500
timing: 14022
timing: 13937
timing: 14205
timing: 12970
timing: 15286
timing: 14300
timing: 14992
timing: 12840
timing: 13723
timing: 14037
timing: 13280
timing: 14913
timing: 14219
timing: 14250
timing: 14554
timing: 14400
timing: 16162
timing: 14251
timing: 15426
timing: 13726
timing: 14160
timing: 14067
timing: 13320
timing: 14646
timing: 15456
timing: 14162
timing: 13094
timing: 15300
timing: 15274
timing: 12474
timing: 14211
timing: 13914
timing: 14902
timing: 14568
timing: 14522
timing: 14354
timing: 16539
timing: 14260
timing: 14996
timing: 13894
timing: 13039
timing: 14544
timing: 13105
timing: 14630
timing: 14397
timing: 14266
timing: 14753
timing: 14167
timing: 13914
timing: 13640
timing: 14667
timing: 14732
timing: 12915
timing: 12897
timing: 13888
timing: 14642
test: medium_latency_0
timing: 19520
timing: 15642
timing: 12851
timing: 13934
timing: 15160
timing: 12397
timing: 13117
timing: 12833
timing: 13531
timing: 12872
timing: 12383
timing: 13370
timing: 12907
timing: 18461
timing: 16536
timing: 15685
timing: 14162
timing: 15338
timing: 14151
timing: 11268
timing: 13293
timing: 12133
timing: 13078
timing: 11434
timing: 12841
timing: 13462
timing: 12687
timing: 13453
timing: 12765
timing: 12316
timing: 13051
timing: 15462
timing: 12785
timing: 13335
timing: 13330
timing: 13165
timing: 13237
timing: 11360
timing: 13186
timing: 13097
timing: 12689
timing: 13782
timing: 11442
timing: 12411
timing: 13195
timing: 14009
timing: 11400
timing: 11513
timing: 14428
timing: 12802
timing: 13110
timing: 13130
timing: 12572
timing: 13775
timing: 14435
timing: 13385
timing: 13656
timing: 12396
timing: 13490
timing: 14099
timing: 14115
timing: 13140
timing: 13342
timing: 13907
timing: 14760
timing: 13303
timing: 12625
timing: 13859
timing: 13142
timing: 14040
timing: 12380
timing: 11430
timing: 13808
timing: 13850
timing: 13940
timing: 12286
timing: 13216
timing: 14327
timing: 13094
timing: 12998
timing: 13325
timing: 13171
timing: 12975
timing: 13746
timing: 12940
timing: 11323
timing: 13830
timing: 13293
timing: 11227
timing: 12719
timing: 13665
timing: 12740
timing: 13551
timing: 13425
timing: 13152
timing: 13008
timing: 13218
timing: 15134
timing: 13340
timing: 13002
timing: 14488
timing: 15703
timing: 15091
timing: 16880
timing: 15049
timing: 12619
timing: 15760
timing: 15423
timing: 15054
timing: 14634
timing: 15788
timing: 17030
timing: 15847
timing: 15117
timing: 15098
timing: 14206
timing: 14544
timing: 15358
timing: 14111
timing: 13726
timing: 15973
timing: 14656
timing: 12515
timing: 14423
timing: 14068
timing: 15012
timing: 13548
timing: 14470
timing: 13882
timing: 14618
timing: 13722
timing: 13902
timing: 15457
timing: 13670
timing: 13038
timing: 12281
timing: 13438
timing: 13250
timing: 15785
timing: 14489
timing: 16907
timing: 14837
timing: 14798
timing: 13173
timing: 16517
timing: 17835
timing: 14199
timing: 14968
timing: 16259
timing: 14121
timing: 13761
timing: 14357
timing: 14156
timing: 15110
timing: 15092
timing: 12874
timing: 14177
timing: 15373
timing: 13937
timing: 14251
timing: 13839
timing: 12949
timing: 14867
timing: 12848
timing: 13758
timing: 16495
timing: 13790
timing: 15512
timing: 16361
timing: 16812
timing: 15166
timing: 14884
timing: 17511
timing: 13730
timing: 17067
timing: 14194
timing: 17780
timing: 15111
timing: 15983
timing: 14987
timing: 13682
timing: 14934
timing: 16441
timing: 14541
timing: 15667
timing: 14592
timing: 14307
timing: 15010
timing: 13878
timing: 15488
timing: 14756
timing: 14180
timing: 14847
timing: 13629
timing: 15013
timing: 14601
timing: 15385
timing: 13917
timing: 13621
timing: 15216
timing: 14842
timing: 12338
timing: 14575
timing: 14324
timing: 13258
timing: 11537
timing: 12375
timing: 13057
timing: 14614
timing: 13613
timing: 13309
timing: 11465
timing: 13391
timing: 13701
timing: 13187
timing: 13268
timing: 16399
timing: 14127
timing: 14102
timing: 13630
timing: 13362
timing: 14489
timing: 12028
timing: 15349
timing: 12756
timing: 13654
timing: 14367
timing: 13893
timing: 13428
timing: 13630
timing: 12990
timing: 13418
timing: 13359
timing: 14167
timing: 13403
timing: 14534
timing: 13860
timing: 14226
timing: 12765
timing: 11808
timing: 13760
timing: 16186
timing: 15734
timing: 15208
timing: 14021
timing: 14225
timing: 15246
timing: 12073
timing: 12469
timing: 13727
timing: 12537
timing: 13649
timing: 12894
timing: 13062
timing: 13046
timing: 14774
timing: 13035
timing: 12808
timing: 14007
timing: 13567
timing: 15197
timing: 15612
timing: 12998
timing: 13083
timing: 12630
timing: 11969
timing: 14074
timing: 13701
timing: 12779
timing: 13655
timing: 11395
timing: 12490
timing: 13508
timing: 13588
timing: 13393
timing: 13097
timing: 13191
timing: 12995
timing: 13516
timing: 14483
timing: 13799
timing: 13166
timing: 12480
timing: 13894
timing: 15144
timing: 13378
timing: 13802
timing: 13765
timing: 15212
timing: 13228
timing: 14346
timing: 14912
timing: 13342
timing: 13679
timing: 13351
timing: 13455
timing: 13877
timing: 14848
timing: 13463
timing: 15069
timing: 15881
timing: 13167
timing: 15910
timing: 13916
timing: 12111
timing: 13852
timing: 14569
timing: 15157
timing: 14850
timing: 14345
timing: 14208
timing: 15339
timing: 13270
timing: 13445
timing: 14056
timing: 13422
timing: 14672
timing: 13299
timing: 13753
timing: 12839
timing: 13259
timing: 12243
timing: 12718
timing: 12060
timing: 13128
timing: 13800
timing: 13100
timing: 12078
timing: 13320
timing: 13151
timing: 12255
timing: 13502
timing: 14439
timing: 14200
timing: 13170
timing: 14510
timing: 13361
timing: 12934
timing: 13216
timing: 12365
timing: 13918
timing: 13403
timing: 13873
timing: 13516
timing: 13815
timing: 13353
timing: 15331
timing: 11769
timing: 12848
timing: 14772
timing: 13598
timing: 14062
timing: 13403
timing: 13620
timing: 13937
timing: 14331
timing: 13829
timing: 14215
timing: 14117
timing: 13643
timing: 15918
timing: 13968
timing: 12742
timing: 14098
timing: 13762
timing: 13382
timing: 13827
timing: 13764
timing: 14673
timing: 13767
timing: 13999
timing: 14000
timing: 14550
timing: 15362
timing: 12205
timing: 13848
timing: 13936
timing: 14734
timing: 13480
timing: 12989
timing: 13405
timing: 14348
timing: 14122
timing: 13836
timing: 14497
timing: 14251
timing: 14518
timing: 12146
timing: 13460
timing: 13785
timing: 14207
timing: 13777
timing: 15380
timing: 12524
timing: 12982
timing: 14579
timing: 13910
timing: 13530
timing: 15663
timing: 14239
timing: 12537
timing: 13678
timing: 13684
timing: 13347
timing: 15508
timing: 12901
timing: 13770
timing: 12928
timing: 14615
timing: 14261
timing: 14564
timing: 15382
timing: 13577
timing: 13083
timing: 13684
timing: 13587
timing: 13028
timing: 13170
timing: 13363
timing: 12709
timing: 13782
timing: 11622
timing: 13131
timing: 12492
timing: 13524
timing: 13844
timing: 13815
timing: 11592
timing: 14203
timing: 13383
timing: 14098
timing: 15045
timing: 13497
timing: 13827
timing: 14381
timing: 11003
timing: 13301
timing: 13467
timing: 15246
timing: 14776
timing: 13784
timing: 13891
timing: 13863
timing: 13192
timing: 13007
timing: 13423
timing: 12788
timing: 12546
timing: 12963
timing: 11849
timing: 14602
timing: 13459
timing: 13477
timing: 13338
timing: 13806
timing: 14947
timing: 11839
timing: 13167
timing: 12630
timing: 12536
timing: 13085
timing: 14289
timing: 14932
timing: 13545
timing: 13180
timing: 13532
timing: 13469
timing: 12036
timing: 15914
timing: 11858
timing: 12774
timing: 14133
timing: 13648
timing: 13051
timing: 13381
timing: 13907
timing: 13281
timing: 11699
timing: 13664
timing: 13542
timing: 11712
timing: 13100
timing: 11450
timing: 12945
timing: 14255
timing: 13059
timing: 13238
timing: 12909
timing: 11728
timing: 14219
timing: 13835
timing: 13392
timing: 13996
timing: 14155
timing: 11961
timing: 13404
timing: 12968
timing: 12892
timing: 15425
timing: 12997
timing: 13092
timing: 13627
timing: 11666
timing: 13842
timing: 13275
timing: 11917
timing: 13001
timing: 13698
timing: 13021
timing: 12883
timing: 13668
timing: 11349
timing: 14702
timing: 13874
timing: 13463
timing: 13470
timing: 12388
timing: 13812
timing: 12962
timing: 12597
timing: 13034
timing: 14364
timing: 14007
timing: 13552
timing: 13727
timing: 14567
timing: 14613
timing: 13995
timing: 13716
timing: 13337
timing: 13381
timing: 13907
timing: 13557
timing: 15210
timing: 12112
timing: 14106
timing: 12995
timing: 11947
timing: 13437
timing: 12957
timing: 13902
timing: 14098
timing: 14726
timing: 13522
timing: 13193
timing: 14421
timing: 13394
timing: 13134
timing: 13223
timing: 14441
timing: 13923
timing: 13220
timing: 13185
timing: 12971
timing: 16652
timing: 14360
timing: 13678
timing: 13743
timing: 13411
timing: 13942
timing: 13650
timing: 14927
timing: 13225
timing: 14018
timing: 13830
timing: 14466
timing: 13196
timing: 12178
timing: 13982
timing: 12217
timing: 14353
timing: 14360
timing: 13456
timing: 13208
timing: 13169
timing: 13403
timing: 13685
timing: 13375
timing: 11668
timing: 12907
timing: 12765
timing: 13835
timing: 14565
timing: 13032
timing: 16210
timing: 12302
timing: 13445
timing: 13469
timing: 13698
timing: 12030
timing: 13133
timing: 13648
timing: 13074
timing: 11692
timing: 12687
timing: 11779
timing: 13713
timing: 15842
timing: 14945
timing: 13085
timing: 13645
timing: 13981
timing: 15113
timing: 14536
timing: 14338
timing: 13997
timing: 14035
timing: 15491
timing: 13082
timing: 10760
timing: 14408
timing: 11358
timing: 13244
timing: 12606
timing: 11419
timing: 13255
timing: 12958
timing: 11764
timing: 12974
timing: 13850
timing: 14216
timing: 13060
timing: 12784
timing: 11782
timing: 13124
timing: 14329
timing: 13433
timing: 13478
timing: 12641
timing: 13615
timing: 13292
timing: 12962
timing: 12703
timing: 11673
timing: 12707
timing: 13523
timing: 12800
timing: 13208
timing: 14167
timing: 12876
timing: 13392
timing: 14463
timing: 13460
timing: 14051
timing: 13467
timing: 16226
timing: 13800
timing: 14081
timing: 12934
timing: 13059
timing: 13187
timing: 11953
timing: 13682
timing: 13477
timing: 12779
timing: 11114
timing: 12577
timing: 13570
timing: 12339
timing: 12822
timing: 14093
timing: 13332
timing: 13477
timing: 12611
timing: 11253
timing: 12578
timing: 12455
timing: 13633
timing: 13055
timing: 12794
timing: 11208
timing: 13255
timing: 12929
timing: 11903
timing: 12778
timing: 13593
timing: 13811
timing: 11818
timing: 12691
timing: 12563
timing: 13741
timing: 11734
timing: 13339
timing: 12474
timing: 12493
timing: 14377
timing: 13293
timing: 13239
timing: 13027
timing: 13991
timing: 12570
timing: 12618
timing: 12530
timing: 12117
timing: 13922
timing: 10995
timing: 13376
timing: 12772
timing: 13709
timing: 12999
timing: 13025
timing: 12507
timing: 12745
timing: 13554
timing: 13218
timing: 14367
timing: 12599
timing: 12748
timing: 13697
timing: 13244
timing: 12611
timing: 12257
timing: 11441
timing: 13514
timing: 12355
timing: 12633
timing: 12791
timing: 13105
timing: 12573
timing: 14500
timing: 12280
timing: 14626
timing: 14527
timing: 12384
timing: 13180
timing: 13960
timing: 15121
timing: 13658
timing: 13695
timing: 14052
timing: 12800
timing: 13173
timing: 12989
timing: 12969
timing: 13522
timing: 13135
timing: 12894
timing: 12845
timing: 14649
timing: 13684
timing: 11032
timing: 11973
timing: 10783
timing: 11805
timing: 12775
timing: 11429
timing: 12405
timing: 12590
timing: 13189
timing: 11756
timing: 13089
timing: 13987
timing: 12635
timing: 13474
timing: 12581
timing: 12992
timing: 14767
timing: 12237
timing: 13540
timing: 12258
timing: 12505
timing: 13498
timing: 13886
timing: 11772
timing: 14106
timing: 12688
timing: 11420
timing: 14215
timing: 12765
timing: 12832
timing: 13730
timing: 14686
timing: 12629
timing: 13850
timing: 13488
timing: 12326
timing: 12657
timing: 16447
timing: 23646
timing: 12320
timing: 18366
timing: 16830
timing: 13302
timing: 11497
timing: 12408
timing: 12494
timing: 12272
timing: 13032
timing: 13104
timing: 13929
timing: 12874
timing: 12542
timing: 14110
timing: 13636
timing: 12999
timing: 13977
timing: 12920
timing: 13034
timing: 13817
timing: 11451
timing: 12622
timing: 13056
timing: 14233
timing: 13124
timing: 11665
timing: 12836
timing: 13246
timing: 13913
timing: 13325
timing: 12550
timing: 12166
timing: 12722
timing: 12385
timing: 12639
timing: 13238
timing: 13210
timing: 12605
timing: 11387
timing: 12530
timing: 14612
timing: 14570
timing: 13878
timing: 13098
timing: 12706
timing: 12855
timing: 14073
timing: 13280
timing: 13382
timing: 14309
timing: 13544
timing: 13870
timing: 15570
timing: 13219
timing: 14517
timing: 13090
timing: 13803
timing: 14039
timing: 14572
timing: 11855
timing: 14346
timing: 16081
timing: 14244
timing: 13547
timing: 13818
